museum_id,Region,Museum,City,URL,description,street,postcode,Latitude,Longitude,website,main category,secondary category,adult_ticket_price,museumkaart_price
40,Gelderland,Stedelijk Museum Zutphen,Zutphen,https://whichmuseum.com/museum/stedelijk-museum-zutphen-40,"The Stedelijk Museum Zutphen has a diverse collection consisting of paintings and prints, handicrafts, religious art, archaeological and historical objects, textiles and antique toys. Zutphen’s silverware has a prominent place in the museum. The permanent exhibition ""Zutphen, The Lost City"" allows the visitor to relive the part of Zutphen that was bombed during the war. In addition there are regularly exhibitions of works from the Zutphen illustrator Jo Spier.",Gravenhof 4,7201 DN,,,http://www.museazutphen.nl/stedelijk-museum-zutphen/,Art & Design,History & Anthropology,4.50,0.00
179,Drenthe,City Museum Coevorden,Coevorden,https://whichmuseum.com/museum/city-museum-coevorden-179,"The Stedelijk Museum Coevorden is housed in the Arsenal of Coevorden. The museum illustrates the story of the fortified town of Coevorden from the time in which the first viscount lived to the present. Coevorden was captured destroyed and rebuilt several times in its history. The museum features a cupboard of 36 meters with objects, architectural models, 3D projections, animations and audio.",Haven 4,7741 JV,,,http://www.museumcoevorden.nl/,History & Anthropology,,5.00,0.00
355,Gelderland,Doorwerth Castle,Doorwerth,https://whichmuseum.com/museum/doorwerth-castle-355,"The rich history of the castle, of more than seven centuries, boasts glorious periods as well as darker ones. Nowadays, Doorwerth Castle shines in all its 17th century glory, including a gatehouse, coach house and stables. The vegetable garden is managed so beautifully that you’d expect it to still supply the lord’s kitchens with vegetables and flowers. Inside, you can marvel at the richly decorated period rooms and imagine yourself to be living at the castle. In the armour room, children can try on a chain mail suit. In the south wing, you find a comprehensive overview of the history of the castle, forestry and hunting in the Netherlands.",Fonteinallee 2b,6865 ND,,,https://www.glk.nl/landschap-kastelen/kastelen/kasteel-doorwerth,History & Anthropology,Nature & Natural History,11.50,0.00
102,Friesland,Princessehof National Museum of Ceramics,Leeuwarden,https://whichmuseum.com/museum/princessehof-national-museum-of-ceramics-leeuwarden-102,"The Princessehof Ceramics Museum is housed in a house built in 1693, called ‘Princessehof’. The collection features a large diverse collection of Chinese porcelain. The museum displays the Dutch Art Nouveau and Art Deco ceramics from 1880 to 1930. A centrepiece in museum is a sculpture by Karel Appel. The museum also organises temporary exhibitions that demonstrate the versatility of porcelain, stoneware and earthenware.",Grote Kerkstraat 11,8911 DZ,,,https://www.princessehof.nl/,Art & Design,,10.00,0.00
1261,Gelderland,Noord-Veluws Museum Nunspeet,Nunspeet,https://whichmuseum.com/museum/noord-veluws-museum-nunspeet-1261,"The Noord-Veluws Museum is primarily an art museum that shows work by artists from Noord-Veluwe. The museum does not limit itself to providing information about the paintings, but links stories to it. Stories of the painters and residents of this part of the Veluwe who lived and worked here from 1880 to 1950. The museum offers the visitor a hospitable and inspiring environment.",Winckelweg 17a,8071 DN,,,http://www.noord-veluws-museum.nl/,Art & Design,,10.00,0.00
399,Gelderland,Netherlands Open Air Museum,Arnhem,https://whichmuseum.com/museum/netherlands-open-air-museum-arnhem-399,"The Netherlands Open Air Museum presents an overview of the Dutch history of two centuries ago to the more recent history. It focusses on the culture associated with the everyday lives of ordinary people. It features various antique houses, farms, factories, mills, a farmer bar and shops from different parts of the Netherlands. In addition, the museum exhibits a collection of historical clothing and jewellery.",Hoeferlaan 4,6816 SG,,,http://openluchtmuseum.nl/,History & Anthropology,,19.50,0.00
396,Gelderland,Nederlands Watermuseum,Arnhem,https://whichmuseum.com/museum/nederlands-watermuseum-arnhem-396,"The Nederlands Watermuseum is housed in the former ‘Bagijnemolen’. It is an interactive museum that covers everything related to water in the Netherlands, but also in the rest of the world. More than fifty presentations illustrate how the sewer system works, how much water the human body consists of and how pumping stations prevent flooding. Topics that are covered include water, dam management, groundwater and water usage. Visitors can also do experiments with water.",Zijpendaalseweg 26-28,6814 CL,,,https://www.watermuseum.nl/,Specialized & Alternative,Nature & Natural History,8.00,0.00
453,Gelderland,Nederlands Tegelmuseum,Otterlo,https://whichmuseum.com/museum/nederlands-tegelmuseum-otterlo-453,"The Nederlands Tegelmuseum exhibits a large collection of Dutch wall tiles and tile panels. The collection of tiles are displayed in various themed rooms. Topics include Bible scenes, tiles from the 18th and 19th century, post-war tile art and ships and sea creatures. It illustrates the history and development of the Dutch tile. In addition to the collection, the museum also discusses the technique of baking and painting tiles.",Eikenzoom 12,6731 BH,,,http://www.nederlandstegelmuseum.nl/,Art & Design,History & Anthropology,6.50,0.00
684,Gelderland,The Dutch Hunting Museum,Doorwerth,https://whichmuseum.com/museum/the-dutch-hunting-museum-doorwerth-684,"The Nederlands jachtmuseum is housed in the Doorwerth Castle. The exhibitions and public activities of the Nederlands jachtmuseum are part of the overall presentation of the castle. The national forestry collection is also housed in the castle. Central themes in the museum are the castle, hunting and forestry. The collection consists of various objects that illustrate the history of hunting.",Fonteinallee 2b,6865 ND,,,http://nederlandsjachtmuseum.nl/,Specialized & Alternative,History & Anthropology,11.50,0.00
357,Gelderland,Dutch Bakery Museum,Hattem,https://whichmuseum.com/museum/dutch-bakery-museum-hattem-357,"The Nederlands Bakkerijmuseum is housed in two medieval farms and an old stable. It illustrates the history of bakery and the cooperation between farmers, millers and bakers. The common room is decorated like a 19th century parlor including tile panels and a stove. In addition, the museum displays cooking pots, a ‘takkenbosoven’ and a ‘maalstoel’ from 1925 and covers the Droste company.",Kerkhofstraat 13,8051 GG,,,https://www.bakkerijmuseum.nl/,Specialized & Alternative,History & Anthropology,7.50,0.00
232,Friesland,Natuurmuseum Fryslân,Leeuwarden,https://whichmuseum.com/museum/natuurmuseum-fryslan-leeuwarden-232,"The Natuurmuseum Fryslân is housed in a former orphanage. The central theme of the museum is the nature of Friesland. The museum consists of four floors with animals, plants, information, assignments and experiments. Doing and experiencing are important in the museum. The collection consists of approximately 150,000 objects including butterflies, molluscs, beetles, bird eggs and fossils. Highlights include a 15-foot long skeleton of a sperm whale and ""Friesland onder Water"" which shows life at the bottom of a farm ditch.",Schoenmakersperk 2,8911 EM,,,http://www.natuurmuseumfryslan.nl/,Nature & Natural History,,15.00,4.00
60,Limburg,Natural History Museum of Maastricht,Maastricht,https://whichmuseum.com/museum/natural-history-museum-of-maastricht-60,The Natural History Museum of Maastricht is dedicated to the nature in Limburg. The museum has three permanent exhibits that illustrate the nature of Limburg. The exhibition Biology is dedicated to contemporary nature. The exhibition Geology covers tropical swamps and the ‘Krijtzee’. And the exhibition Dynamicum illustrates the influence of men on climate change. The entire collection consists of more than half a million objects.,De Bosquetplein 7,6211 KJ,,,http://nhmmaastricht.nl/home.html,Nature & Natural History,,5.20,0.00
481,Friesland,Nationaal Vlechtmuseum,Noordwolde,https://whichmuseum.com/museum/nationaal-vlechtmuseum-noordwolde-481,"The Nationaal Vlechtmuseum is dedicated to one of the oldest crafts: braiding. The museum shows that various materials can be used to braid. With various materials It shows both contemporary and traditional braided objects, such as basketry, furniture, jewellery, utensils, applied art and packaging. It also shows the visitor similarities and differences between braids from the Netherlands and other countries.",Mandehof 7,8391 BG,,,https://vlechtmuseum.nl/,Specialized & Alternative,,5.00,0.00
673,Friesland,Nationaal Modelspoor Museum,Sneek,https://whichmuseum.com/museum/nationaal-modelspoor-museum-sneek-673,"The Nationaal Modelspoor Museum is housed in the restored station of Sneek. It is dedicated to model trains. The museum features showcases with tracks with miniature locomotives, miniature train sets and model trains that run through various landscapes. It has a number of collections of both Dutch and foreign trains with various themes, from different periods and in various scales.",Dr. Boumaweg 17b,8601 GM,,,http://modelspoormuseum.nl/,Specialized & Alternative,,7.50,0.00
658,Gelderland,Lalique Museum Netherlands,Doesburg,https://whichmuseum.com/museum/lalique-museum-netherlands-doesburg-658,"The Nationaal Lalique Museum is dedicated to the French jeweller and glass artist René Jules Lalique (1860-1945). His main client was the British businessman and philanthropist of Armenian origin, Calouste Gulbenkian. His art is considered to be art deco and art nouveau. The museum features tens of major works by Lalique.",Gasthuisstraat 1,6981 CP,,,https://www.laliquemuseum.nl/,Art & Design,,3.50,0.00
27,Groningen,Muzeeaquarium Delfzijl,Delfzijl,https://whichmuseum.com/museum/muzeeaquarium-delfzijl-27,"The Muzeeaquarium Delfzijl is situated at the embankment near the harbour. The museum has permanent exhibitions on archaeology, geology, shipping, fishing and shells. There is also an aquarium with various animals and plants from the North Sea and Wadden Sea, which is constructed in a bunker from the Second World War. The aquarium features sharks, colored wrasses, rays and lobsters and other sea creatures. The museum is also dedicated to the history of the port of Delfzijl, displaying old ship artefacts, model boats and artefacts from Delfzijl.",Zeebadweg 7,9933 AV,,,http://www.muzeeaquarium.nl/,Nature & Natural History,History & Anthropology,5.00,0.00
229,Gelderland,Marechausseemuseum,Buren,https://whichmuseum.com/museum/marechausseemuseum-buren-229,"The Museum der Koninklijke Marechaussee is housed in a former Royal Orphanage. The museum is dedicated to the Royal Marechaussee and covers the time between its establishment to the present. It ranges from military police in Napoleonic uniforms from 1814 to the troopers now. The museum illustrates the different periods and the corresponding police troops and the ‘rijkspolitie’ and ‘gemeentepolitie’. Motorcycles, jeeps and other vehicles are on display in an outbuilding.",Weeshuiswal 9,4116 BR,,,http://www.marechausseemuseum.nl/nl/,History & Anthropology,,4.00,0.00
435,Drenthe,Miramar Zeemuseum,Vledder,https://whichmuseum.com/museum/miramar-zeemuseum-vledder-435,"The Miramar Zeemuseum exhibits a collection of sea treasures that were collected by Jeanne Warners, the founder of the museum. The museum’s collection is very diverse and features objects ranging from starfish to shells, from flying fish to chitons and corals to sponges. The museum also displays Warners' first shell and the boxes in which the findings were transported.",Vledderweg 25,8381 AB,,,https://miramar-zeemuseum.nl/,Nature & Natural History,,6.50,0.00
473,Groningen,Menkemaborg,Uithuizen,https://whichmuseum.com/museum/menkemaborg-uithuizen-473,"The Menkemaborg is a borg in Groningen of which the oldest part dates back to the 14th century. It illustrates life in the 18th century. The rooms are decorated with silver, brass, porcelain, furniture and various portraits from the 17th and 18th century. Between the canals are gardens, including the sundial garden where the shadow of the wooden pointer indicates the time in the 18th century.",Menkemaweg 2,9981 CV,,,http://www.menkemaborg.nl/,History & Anthropology,,7.50,0.00
340,Gelderland,Het Loo Palace,Apeldoorn,https://whichmuseum.com/museum/het-loo-palace-apeldoorn-340,"The Loo Palace was a royal palace for three centuries. The museum shows how the successive royal families lived in the palace. The collection consists of some 160,000 objects, including paintings, sculptures, applied art, furniture, costumes, carriages and books. In a multimedia presentation, the story of the House of Orange in Dutch history is told.",Koninklijk Park 1,7315 JA,,,https://www.paleishetloo.nl/,History & Anthropology,Art & Design,5.00,0.00
251,Gelderland,Liemers Museum,Zevenaar,https://whichmuseum.com/museum/liemers-museum-zevenaar-251,"The Liemers Museum is dedicated to the area and its residents. Archaeological finds illustrate the past and mounted animals illustrate the fauna in the region. The museum also covers the Turmac cigarette factory, which was established in Zevenaar ninety years ago.",Kerkstraat 27,6901 AA,,,http://www.liemersmuseum.nl/,History & Anthropology,Nature & Natural History,6.50,0.00
18,Gelderland,Kröller-Müller Museum,Otterlo,https://whichmuseum.com/museum/kroller-muller-museum-otterlo-18,"The Kröller-Müller Museum is located in the National Park De Hoge Veluwe. The museum has a world famous collection that mainly consists of 19th and 20th century art. The sculpture garden and the large collection of works by the Dutch painter Vincent van Gogh are the most important. The museum has some 90 paintings and over 180 drawings by Vincent van Gogh. Other artists of whom the museum has works on display include Piet Mondrian, Claude Monet, Pablo Picasso and Georges Seurat. The museum combines art, nature and architecture.",Houtkampweg 6,6731 AW,,,https://krollermuller.nl/bezoek,Art & Design,,6.00,0.00
233,Drenthe,Kinderwereld Speelgoedmuseum,Roden,https://whichmuseum.com/museum/kinderwereld-speelgoedmuseum-roden-233,"The Kinderwereld Speelgoedmuseum is dedicated to toys. The collection mainly consists of old toys from late 1700 to 1950. The collection includes dolls and dollhouses, small tableware, trains, cars, board games, tin soldiers, slot machines and LEGO. In addition to looking at the toys, visitors also get the opportunity to play with it. The museum also has a railway and an antique carousel and there is an outdoor play area where visitors can cycle on old bikes.",Brink 31,9301 JK,,,http://museumkinderwereld.nl/,Specialized & Alternative,,4.50,0.00
407,Gelderland,Kijk en Luistermuseum,Bennekom,https://whichmuseum.com/museum/kijk-en-luistermuseum-bennekom-407,"The kijk- en luistermuseum is dedicated to mechanical musical instruments and the history of the Veluwe region. A large part of the collection consists of 19th century mechanical musical instruments that work with springs or should be moved by hand. The collection includes birds, barrel organs, player pianos and moving and music making figures.",Kerkstraat 1,6721 VA,,,http://kijkenluistermuseum.nl/,Specialized & Alternative,History & Anthropology,4.00,0.00
247,Friesland,Jopie Huisman Museum,Workum,https://whichmuseum.com/museum/jopie-huisman-museum-workum-247,"The Jopie Huisman Museum is housed in a modern building designed specifically for the collection that is exhibited inside of it. The museum is dedicated to the work and life of the self-taught Dutch painter and draftsman Jopie Huisman (1922-2000). His work is a homage to the simple Frisian peasant life, culture and landscape and are mostly made in a realistic style.",Noard 6,8711 AH,,,https://www.jopiehuismanmuseum.nl/,Art & Design,,8.50,0.00
254,Drenthe,Internationaal Klompenmuseum,Eelde,https://whichmuseum.com/museum/internationaal-klompenmuseum-eelde-254,"The International Wooden Shoe Museum Eelde is a museum dedicated to the wooden shoe, wooden shoe making machines and tools used by clog makers. The museum has the most extensive collection of clogs in the world. The collection consists of more than 2,200 pairs of clogs and other wooden footwear from more than forty countries. The tools and clog making machines are from around 1920. The museum annually organises a themed exhibition.",Wolfhorn 1a,9761 BA,,,http://www.klompenmuseum.nl/,Specialized & Alternative,,4.00,0.00
141,Drenthe,Hunebedcentrum,Borger,https://whichmuseum.com/museum/hunebedcentrum-borger-141,"The Hunebedcentrum is dedicated to dolmens and Funnel beakers, the builders of the dolmens. The tombs were built some five thousand years ago. 52 of the 54 dolmens in the Netherlands are found in the province of Drenthe. The museum shows how Funnel beakers lived five centuries ago. Visitors can also visit the reconstructed house from the Stone Age built on the terrain of the museum.",Bronnegerstraat 12,9531 TG,,,http://www.hunebedcentrum.eu/,History & Anthropology,,9.50,0.00
530,Gelderland,Heiligenbeeldenmuseum,Vorden,https://whichmuseum.com/museum/heiligenbeeldenmuseum-vorden-530,"The Heiligenbeeldenmuseum is housed in the Antonius van Paduakerk from 1855. The museum focuses on the preservation and presentation of Roman Catholic heritage. It houses a collection of approximately six hundred sculptures of saints. In addition to focusing on the theme ‘Cuypers’, the architect of the church, the museum organizes exhibitions on a different theme.",Ruurloseweg 101,7251 LD,,,http://www.heiligenbeeldenmuseum.nl/,Art & Design,,5.00,0.00
477,Friesland,Hannemahuis,Harlingen,https://whichmuseum.com/museum/hannemahuis-harlingen-477,"The Hannemahuis is housed in a monumental patrician house. The regional museum exhibits objects that are related to the history and art history of Harlingen. The collection includes paintings, furniture, photographs, historical documents, maritime objects, silverware and tiles and pottery from Harlingen. In addition, the museum exhibits objects related to the Dutch novelist Simon Vestdijk.",Voorstraat 56,8861 BM,,,http://www.hannemahuis.nl/,History & Anthropology,Art & Design,5.00,0.00
82,Groningen,Groninger Museum,Groningen,https://whichmuseum.com/museum/groninger-museum-groningen-82,"The Groninger Museum is housed in a building that is considered one of the highlights of postmodernism. The museum has four diverse collections with the following themes: history of Groningen, applied art, contemporary art and old art. The collection includes works by Hendrik Willem Mesdag and Jozef Israels, who both belong to the Hague School. The museum also owns many works by De Ploeg from 1920-1930 and neo-expressionist paintings from the 80s. The contemporary art collection consists of visual art, fashion and design.",Museumeiland 1,9711 ME,,,http://www.groningermuseum.nl/,Art & Design,,10.00,0.00
154,Drenthe,Het Gevangenismuseum,Veenhuizen,https://whichmuseum.com/museum/het-gevangenismuseum-veenhuizen-154,"The Gevangenismuseum is housed in a former ‘Dwanggesticht’ from the 19th century. In an interactive way, the visitor learns about how criminals were treated in the Netherlands from 1600 to the present. In addition, the museum covers the history of Veenhuizen as a prison town. Important in the museum is a ‘radbraakkruis’ from the 17th century and a wooden rack. Every Wednesday and Sunday afternoon a ‘boevenbus’ drives around the museum.",Oude Gracht 1,9341 AA,,,https://www.gevangenismuseum.nl/index.php,History & Anthropology,Specialized & Alternative,8.60,0.00
37,Gelderland,Gelders Geologisch Museum,Velp,https://whichmuseum.com/museum/gelders-geologisch-museum-velp-37,"The Gelders Geologisch Museum has a collection of minerals, rocks and fossils. On the ground floor, minerals are displayed sorted by chemical composition by the system of Strunz. On the upper floor fossils are displayed from 500 million years old worm corridors to shells and bones from the more recent past. Top pieces include the dinosaur egg, a crocodile and remains of mammoths. In addition, the museum displays rocks found in the region.",Parkstraat 32,6881 JG,,,http://www.geologischmuseum.nl/,Nature & Natural History,,7.00,0.00
418,Friesland,Fries Verzetsmuseum,Leeuwarden,https://whichmuseum.com/museum/fries-verzetsmuseum-leeuwarden-418,"The Fries Verzetsmuseum is part of the Fries Museum. The museum illustrates Friesland during World War II, collaboration, resistance and persecution, daily life and liberation in Friesland. The collection includes a selection of army boots, guns, documents, photos and film clips. The museum focusses on personal stories and stories related to the objects.",Wilhelminaplein 92,8911 BS,,,http://www.friesverzetsmuseum.nl/,History & Anthropology,,12.00,0.00
300,Friesland,Fries Scheepvaartmuseum,Sneek,https://whichmuseum.com/museum/fries-scheepvaartmuseum-sneek-300,"The Fries Scheepvaartmuseum is dedicated to the history of Frisian shipping from the 17th to the 20th century. The collection consists of two parts: the history of Frisian shipping and the history of the city Sneek. In addition to shipping and the regional history, the museum also covers water and ice sports. Important in the collection are the more than three hundred ship models and some real ships.",Kleinzand 16,8601 BH,,,http://friesscheepvaartmuseum.nl/,History & Anthropology,Science & Technology,9.50,0.00
252,Friesland,Fries Museum,Leeuwarden,https://whichmuseum.com/museum/fries-museum-leeuwarden-252,"The Fries Museum is dedicated to Friesland and its inhabitants. In the museum the story of the countryside and the eleven cities is told, the dealing with water and the search for the typical Frisian. The collection includes contemporary art, archaeological finds, old costumes, the sword of freedom fighter Grutte Pier, Frisian mounds and the legacy of the exotic dancer and possible double agent Mata Hari.",Wilhelminaplein 92,8911 BS,,,https://www.friesmuseum.nl/,History & Anthropology,Art & Design,7.50,0.00
336,Friesland,Fries Landbouwmuseum,Leeuwarden,https://whichmuseum.com/museum/fries-landbouwmuseum-leeuwarden-336,"The Fries Landbouwmuseum illustrates two thousand years of agricultural history of Friesland. Working, living and housing conditions of a peasant family in different time periods are illustrated, including the mound period, the Middle Ages and periods before and after the Second World War. The collection consists of objects that are related to rural life, such as a steam engine from a butter and cheese factory and a ‘vlasseknopbreker’. The museum also exhibits contemporary art.",Felling 6,8912 CG,,,https://landbouwmuseumfriesland.nl/,History & Anthropology,,7.00,0.00
223,Gelderland,Freedom Museum,Groesbeek,https://whichmuseum.com/museum/freedom-museum-groesbeek-223,"The Freedom Museum is located in the beautiful green and hilly landscape of Groesbeek. The museum is close to Germany and right in the area of the two most important operations on the Western Front during WW2: Market Garden and Veritable. There is never one story. A multifaceted image of the Second World War is created through various perspectives, in the context of the history of the 20th century and current events. It is a tourist attraction for young and old, from home and abroad.",Wylerbaan 4,6561 KR,,,https://www.vrijheidsmuseum.nl,History & Anthropology,,15.00,0.00
415,Groningen,De Fraeylemaborg,Slochteren,https://whichmuseum.com/museum/de-fraeylemaborg-slochteren-415,The Fraeylemaborg is a castle situated on an estate of 23 hectares from the 19th century. The interior illustrates how people lived in a luxury house. The interior consists of precious antiques and everyday personal objects and the collection includes works by the Dutch painter Gerrit van Houten (1866-1934). There are also temporary exhibitions.,Hoofdweg 30,9621 AL,,,https://fraeylemaborg.nl/,History & Anthropology,,6.00,0.00
409,Gelderland,Flipje en Streekmuseum Tiel,Tiel,https://whichmuseum.com/museum/flipje-en-streekmuseum-tiel-409,"The Flipje- en Streekmuseum Tiel is housed in the building of the ‘Groote Sociëteit Tiel ‘. The museum is dedicated to the history of Tiel. The collection consists of objects that are related to the town of Tiel and the western river area. Among others, the museum exhibits a collection of objects of the advertising figure of the ‘De Betuwe’ factory, Flipje. The museum also focuses on jams food and food preparation.",Plein 48,4001 LJ,,,http://www.streekmuseumtiel.nl/,History & Anthropology,,4.50,0.00
79,Drenthe,Drents Museum,Assen,https://whichmuseum.com/museum/drents-museum-assen-79,"The Drents Museum is housed in an old building from 1885. The museum originally opened in 1854 and is one of the oldest museums in the Netherlands. A large collection on the prehistory of Drenthe is on display. In addition, the museum displays bog bodies such as the ‘Yde girl’ and owns a collection of art and applied art. Archaeology, contemporary realism and art from the period 1885 - 1935, are important themes in the museum.",Brink 1,9401 HS,,,https://drentsmuseum.nl/,History & Anthropology,Art & Design,8.00,0.00
143,Limburg,SCHUNCK*,Heerlen,https://whichmuseum.com/museum/schunck-heerlen-143,"The collection of SCHUNCK* consists of two sub collections: the Collection of Modern and Contemporary Dutch painting and the collection Aad de Haas. The first collection reflects on the developments in Dutch painting after 1950 and thus the collection can also function as a touchstone, as well as highlight connections and contrasts compared to the contemporary (visual) art. The Aad de Haas collection comprises over 300 works by the artist (paintings, drawings, monotypes and prints) and reflects his views on social developments around the themes of religion, eroticism and power. SCHUNCK also organizes various temporary exhibitions.",Bongerd 18,6411 JM,,,http://schunck.nl/,Art & Design,,5.00,0.00
443,Gelderland,Doornenburg Castle,Doornenburg,https://whichmuseum.com/museum/doornenburg-castle-443,The cellars and ‘Ridderzaal’ of the Doornenburg Castle are in the architectural style of the Middle Ages. The history of the Doornenburg Castle covers approximately seven hundred years. The Middle Ages and the Second World War were important time periods for the castle. Every third Sunday of the month knight group Knights of the Four Quarters visit the castle.,Kerkstraat 27,6686 BS,,,http://kasteeldoornenburg.nl/,History & Anthropology,,7.50,0.00
100,Gelderland,De Casteelse Poort,Wageningen,https://whichmuseum.com/museum/de-casteelse-poort-wageningen-100,"The Casteelse Poort is the centre for the cultural history of Wageningen. By displaying paintings, photographs, architectural models and other ancient objects, the museum illustrates the history of the city by the Rhine. There are two permanent exhibitions. ‘The History of Wageningen’ illustrates five thousand years of local history, with special focus on the ‘rijkslandbouwschool’. The war at Wageningen is discussed in ‘The Peace of Wageningen 1945’. In World War II, the city was located at the frontline.",Bowlespark 1A,6701 DN,,,http://casteelsepoort.nl/,History & Anthropology,Art & Design,5.00,0.00
373,Gelderland,Cannenburgh Castle,Vaassen,https://whichmuseum.com/museum/cannenburgh-castle-vaassen-373,"The Cannenburgh Castle is a medieval castle that had its heyday in the 18th century. The castle has ancient walls and has a historical interior. The collection includes paintings, porcelain and several pieces of furniture from the 18th century. Visitors learn about the living environment of the staff of the estate. In addition, the 19th century residence of the ‘rentmeester’, the estate’s manager can be visited.",Maarten van Rossumplein 4,8171 EB,,,https://www.glk.nl/landschap-kastelen/kastelen/kasteel-cannenburch,History & Anthropology,,9.50,0.00
